region,per_capita_income_rub,median_income_per_capita_rub,milk_consumption_per_capita,sugar_consumption_per_capita,urban_population_pct,male_to_female_ratio,under_working_age_population_pct,working_age_population_pct,above_working_age_population_pct,dependency_ratio,birth_rate_per_1000,death_rate_per_1000,infant_mortality_per_1000_births,natural_increase_rate_per_1000,marriage_rate_per_1000,divorce_rate_per_1000,migration_increase_rate_per_10000,library_books_per_1000,library_users_total,milk_production_total,milk_production_per_cow,forest_coverage_pct,disease_incidence_infectious,disease_incidence_cancer,disease_incidence_blood,disease_incidence_endocrine,disease_incidence_nervous,disease_incidence_eye,disease_incidence_ear,disease_incidence_circulatory,disease_incidence_respiratory,disease_incidence_digestive,disease_incidence_skin,disease_incidence_musculoskeletal,disease_incidence_genitourinary,disease_incidence_congenital,disease_incidence_trauma,disease_incidence_all,air_pollutant_emissions,captured_air_pollutants_pct,wastewater_discharge,gross_preschool_coverage,qualified_workers_grads,mid_level_specialists_grads,bachelors_specialists_masters_grads,electronic_data_exchange_pct,personal_computer_households_pct,internet_access_households_pct,broadband_access_households_pct,daily_internet_usage_pct,bus_passenger_transport,buses_per_100000,unemployed_per_vacancy,stadiums_1500_seats,sports_facilities_fields,sports_facilities_gyms,sports_facilities_pools,alcoholism_patients_per_100k,drug_addiction_patients_per_100k,substance_abuse_patients_per_100k,disabled_population_per_1000,population_total,crimes_murder_attempts,crimes_grievous_bodily_harm,crimes_robbery,crimes_armed_robbery,crimes_hooliganism,crimes_drug_related,nominal_wages_avg_rub,poverty_rate_pct_region
Красноярский край,41782,32892.7,236,29,79.6,1190,20,57.7,22.3,733,9.3,13.4,5.1,-4.1,7.8,5.3,4,6508,1366,610.773,6751,45.2,19.3,10.8,3.3,14.1,13.3,29.5,23.9,32.8,389.3,29.1,28.8,42.5,42,1.6,98.9,77.9,2632,70.7,299.25,73.31989588,3.8,12.6,11.5,49.7,64.8,82.8,82.7,78.3,187.7,100.8945562,0.247337952,16,2953,1587,126,570.5,145.9,2.2,67.2,2856.3,220,557,656,100,29,4088,71728,14.4
Иркутская область,35040,28570.9,201,33,77.5,1154,21.9,56,22.1,785,10.4,14.1,4.8,-3.7,8.1,5.5,-44,4640,800,460.789,6379,82.2,29.6,13.8,5.1,18.7,17,35,20,34.3,516.3,39,28.1,66.1,44,2.7,90.4,98.3,739,79.2,447.13,75.95967123,3.1,10.6,11.5,51.2,68.6,90,89.6,84.9,95,112.9945913,0.2567096549,23,1906,1367,94,807.8,215.6,1.5,89.6,2363.5,248,607,683,99,10,2114,64635,14.8
Кемеровская область,32627,26779.8,203,32,86.5,1179,19,56.4,24.6,774,7.7,14.9,5.8,-7.2,7.3,4.5,-20,5015,990,272.669,6078,59.5,26.8,12.5,4.2,15.9,21.6,30,18,36.2,329.8,31.6,29.2,56.7,45.3,3.3,118.3,57.1,1593,71.1,203.81,77.24044728,2.7,12.2,7.4,56.1,66.1,82.1,82.1,77.8,177.4,93.91652954,0.3107311321,27,4057,1156,132,566.8,218.4,1.7,84.5,2592,197,577,884,92,12,4299,57653,11.3
Новосибирская область,39845,31971.1,288,37,79.7,1188,19.2,56.7,24.1,763,9.6,13.7,5.4,-4.1,8.1,5,30,3969,1197,893.944,6730,27.8,25.5,11.9,3.4,14.7,11.8,28.4,22.2,36,378.7,27,27.8,27.2,28.3,1,83.7,73.9,198,82.6,77.2,72.40369418,2.6,12.4,16.9,56,69,86.4,86.4,89.3,182.1,89.039483,0.4101744269,23,2180,1406,107,436.8,174.7,4,68.3,2797.5,128,365,668,115,22,2962,53757,11.3
Омская область,34747,27352.9,261,37,73.6,1185,19.7,55.2,25.1,812,8.7,14.1,4.8,-5.4,7.9,4.8,-53,7014,724,608.328,5518,32.3,24.5,7.9,4.3,15.1,12.7,32.2,23.4,40.2,382.3,37.8,35,27.6,27.3,2.1,81.6,90.9,165,90.7,121.19,76.38645212,2.5,9.9,12.4,66.7,64.7,85.5,85.5,88.5,152.7,135.3664501,0.5006298221,39,2626,1204,73,915,285.3,12.3,68.1,1851.5,77,252,275,54,5,2608,46952,12
Томская область,34766,28578.5,256,39,71.3,1168,18.8,58.1,23.1,721,8.2,12.1,3.9,-3.9,7.1,4.7,-62,4664,331,148.77,7294,61.1,32.5,10.7,3.2,22.4,7.9,17.3,15,28.1,356.5,29.2,29.3,22.4,29.8,1.5,43.7,75.8,160,30.2,163.46,76.26047006,0.9,4.4,9.6,57.4,60,74.2,73,77.1,47.1,93.14650805,0.6336943173,14,878,597,33,514.7,158.6,1.2,67.8,1062.7,45,168,267,45,7,1242,57879,12.7
Республика Бурятия,32823,26491.8,175,26,59.1,1115,23.9,56.6,19.5,767,11.2,12.2,4.6,-1,7.4,5.6,-23,5628,407,91.461,3471,63.8,17.7,9.5,4,14.2,16.8,27.1,16.6,26.4,407.4,28.8,25,23.7,28.3,0.9,72.7,119.9,107,84.3,26.28,73.26735199,1.6,4.5,3.5,45,77.4,92,92,84.1,53.6,131.3321596,0.2348728965,17,1124,563,17,741.5,78.6,1.6,80.2,977.9,177,227,414,25,8,1139,53495,19
Республика Саха (Якутия),57715,43912.2,272,37,67.2,1134,23.9,59.7,16.4,675,11.8,8.3,4,3.5,6.7,4.4,-38,8841,488,157.595,2500,50,20.2,9.1,4.3,8.9,18.6,28.2,19.6,24.5,659.3,50.5,38,31.8,30.8,2.3,98.9,172,338,55.6,81.41,77.43187793,1.8,5.1,3.7,50.9,62.9,94.8,88.3,93.6,38.6,80.29551959,0.5757974969,24,564,874,53,964.7,53.6,1.5,59,997.8,111,289,256,27,13,495,96728,15.5
Забайкальский край,36183,28379.6,258,35,69.5,1071,21.9,58.5,19.6,710,11.2,13.8,5.4,-2.6,8.7,6.3,-55,6565,414,316.14,1082,68.5,14.9,7.3,4.6,10.5,7.4,25.7,19.6,27.5,446.8,30.5,24.3,18.1,29.9,1.1,75.1,96,132,83.1,70.68,72.38169665,1.5,4.4,3.3,52.5,63.8,84.3,77.6,81.2,28.6,86.45454738,0.5866727941,12,774,681,25,1063.1,115.2,4.5,75.9,1000.5,151,354,248,37,6,1830,59413,17.6
Камчатский край,70769,53171.8,155,32,78,1119,19.5,60.6,19.9,650,10.2,13.2,6.3,-3,10.8,6.3,-102,7595,160,23.249,5215,42.7,27.9,10.4,2.1,12.3,13.9,25,23.2,23.5,464,24.9,43.4,34.2,36.1,3.9,87.5,112.5,44,8.3,22.57,84.72564279,0.4,1.1,0.8,56.1,66.5,89.3,87.8,82.9,34.8,155.5086067,0.4124339699,1,304,188,10,1681.8,219.2,2.1,45.1,292.6,23,65,52,11,0,406,103540,12.8
Приморский край,45834,36456.6,171,42,78.4,1059,17.6,58.7,23.7,705,8.8,15,6.6,-6.2,9.7,5.6,-57,3186,441,133.026,7550,77.8,35.9,13.1,2.6,7.8,18.1,16.3,17.7,29,400.4,33.3,42.7,26.2,41.3,1.5,131.4,43,203,88.1,243.51,75.98393719,1.8,8.4,8.1,56.2,78.1,88.3,86.8,82.4,80.6,79.28240359,0.1651695223,24,1686,1130,71,939.2,322.8,4.6,58.6,1842,147,435,497,66,37,3806,63589,11.4
